Iteration	Error	Time
0	5.41009E+10	0
1	3.72668E+11	868.5
2	3.85352E+10	1737
3	3.60200E+10	2605.5
4	3.57073E+10	3474
5	3.53952E+10	4342.5
6	3.52434E+10	5211
7	3.51188E+10	6079.5
8	3.51051E+10	6948
9	3.51518E+10	7816.5
10	3.29225E+10	8685
