Iteration	Error	Time
0	1.5782700E+10	0
1	3.8520300E+09	143.1034483
2	5.9491100E+09	286.2068966
3	3.4797300E+09	429.3103449
4	3.2239400E+09	572.4137932
5	3.0675500E+09	715.5172415
6	2.9657000E+09	858.6206898
7	2.7856200E+09	1001.724138
8	2.6522600E+09	1144.827586
9	2.6339700E+09	1287.931035
10	2.5820400E+09	1431.034483
11	2.5472100E+09	1574.137931
12	1.9941800E+09	1717.24138
13	1.9017100E+09	1860.344828
14	1.7950300E+09	2003.448276
15	1.7476900E+09	2146.551725
16	1.7008100E+09	2289.655173
17	1.6638000E+09	2432.758621
18	1.6498800E+09	2575.862069
19	1.5762500E+09	2718.965518
20	1.5269600E+09	2862.068966
21	1.3057000E+09	3005.172414
22	1.2102800E+09	3148.275863
23	1.2678200E+09	3291.379311
24	1.1909800E+09	3434.482759
25	1.1911200E+09	3577.586208
26	1.1860600E+09	3720.689656
27	1.1857700E+09	3863.793104
28	1.1884000E+09	4006.896552
29	1.1858300E+09	4150.000001
