Iteration	Error	Time
1	2.997210E+07	1.23846154
2	2.479000E+07	2.47692308
3	2.307520E+07	3.71538462
4	2.222480E+07	4.95384616
5	2.182200E+07	6.1923077
6	2.166160E+07	7.43076924
7	2.153970E+07	8.66923078
8	2.145590E+07	9.90769232
9	2.138420E+07	11.14615386
10	2.123200E+07	12.3846154
11	2.112850E+07	13.62307694
12	2.101170E+07	14.86153848
13	2.091710E+07	16.10000002
14	2.081400E+07	17.33846156
15	2.076290E+07	18.5769231
16	2.072750E+07	19.81538464
17	2.074420E+07	21.05384618
18	2.070340E+07	22.29230772
19	2.068620E+07	23.53076926
20	2.067530E+07	24.7692308
21	2.066250E+07	26.00769234
22	2.065120E+07	27.24615388
23	2.063570E+07	28.48461542
24	2.062050E+07	29.72307696
25	2.060490E+07	30.9615385
26	2.059520E+07	32.20000004
27	2.058280E+07	33.43846158
28	2.057630E+07	34.67692312
29	2.056770E+07	35.91538466
30	2.055760E+07	37.1538462
31	2.054870E+07	38.39230774
32	2.054080E+07	39.63076928
33	2.053640E+07	40.86923082
34	2.053740E+07	42.10769236
35	2.053520E+07	43.3461539
36	2.053440E+07	44.58461544
37	2.053400E+07	45.82307698
38	2.053330E+07	47.06153852
39	2.053260E+07	48.30000006
40	2.053210E+07	49.5384616
41	2.053180E+07	50.77692314
42	2.053170E+07	52.01538468
43	2.053070E+07	53.25384622
